Brand,TAC,SPECS
XIAOMI,86302407,"XIAOMI REDMI NOTE 14S, Xiaomi 2502FRA65G, Global Model, 2025"
XIAOMI,86176808,"XIAOMI REDMI NOTE 14S, Xiaomi 2502FRA65G, Global Model, 2025"
XIAOMI,86063108,"XIAOMI REDMI 15C, Xiaomi 25078RA3EY2025"
XIAOMI,86103108,"XIAOMI REDMI 15C, Xiaomi 25078RA3EY2025"
XIAOMI,86105008,"XIAOMI REDMI 15C, Xiaomi 25078RA3EY2025"
XIAOMI,86434908,"XIAOMI REDMI 15C, Xiaomi 25078RA3EY2025"
XIAOMI,86576108,"XIAOMI REDMI 15C, Xiaomi 25078RA3EY2025"
XIAOMI,86664308,"XIAOMI REDMI 15C, Xiaomi 25078RA3EY2025"
XIAOMI,86852508,"XIAOMI REDMI 15C, Xiaomi 25078RA3EY2025"
XIAOMI,86862808,"XIAOMI REDMI 15C, Xiaomi 25078RA3EY2025"
XIAOMI,86929908,"XIAOMI REDMI 15C, Xiaomi 25078RA3EY2025"
POCO,86701107,"XIAOMI POCO F7 ULTRA, Xiaomi 24122RKC7G, Global Model, 2025"
POCO,86617207,"XIAOMI POCO F7 ULTRA, Xiaomi 24122RKC7G, Global Model, 2025"
POCO,86477507,"XIAOMI POCO F7 ULTRA, Xiaomi 24122RKC7G, Global Model, 2025"
POCO,86072507,"XIAOMI POCO F7 ULTRA, Xiaomi 24122RKC7G, Global Model, 2025"
XIAOMI,86868007,"XIAOMI POCO F7 PRO, Xiaomi 24117RK2CG, Global Model, 2025"
XIAOMI,86584807,"XIAOMI POCO C71, Xiaomi 25028PC03I, India Model, 2025"
XIAOMI,86069107,"XIAOMI POCO C71, Xiaomi 25028PC03I, India Model, 2025"
XIAOMI,86052207,"XIAOMI 25113PN0EG, Xiaomi 25113PN0EG, Xiaomi 17 (Global)?, 2025"
XIAOMI,86035907,"XIAOMI 25113PN0EG, Xiaomi 25113PN0EG, Xiaomi 17 (Global)?, 2025"
XIAOMI,86215707,"XIAOMI 25113PN0EC, Xiaomi 25113PN0EC, Xiaomi 17 (China), 2025"
XIAOMI,86142207,"XIAOMI 25113PN0EC, Xiaomi 25113PN0EC, Xiaomi 17 (China), 2025"
XIAOMI,86765107,"XIAOMI 2509FPN0BC, Xiaomi 2509FPN0BC, Xiaomi 17 Pro Max (China), 2025"
XIAOMI,86522107,"XIAOMI 2509FPN0BC, Xiaomi 2509FPN0BC, Xiaomi 17 Pro Max (China), 2025"
XIAOMI,86784607,"XIAOMI 25098PN5AC, Xiaomi 25098PN5AC, Xiaomi 17 Pro (China), 2025"
XIAOMI,86456307,"XIAOMI 25098PN5AC, Xiaomi 25098PN5AC, Xiaomi 17 Pro (China), 2025"
XIAOMI,86339007,"XIAOMI 2506BPN68R, Xiaomi 2506BPN68R, Xiaomi 15T Pro, 2025"
